Account ID,Account Name,Email,Status
893243203394,RPA_Prod,torchmarkaws_rpa_prod@torchmarkcorp.com,ACTIVE
736052591530,TST_QlikReplicate,AWS_GlobeLife_TST_QlikReplicate@globe.life,ACTIVE
704461308424,DEV_ExecutiveSalesReporting,AWS_GlobeLife_DEV_ExecutiveSalesReporting@globe.life,ACTIVE
331956161189,DEV_PolicyAdministration_Containers,AWS_GlobeLife_DEV_PolicyAdministration_Containers@globe.life,ACTIVE
717322314148,Globe_CentralObservability,AWS_GlobeLife_Globe_CentralObservability@globe.life,ACTIVE
302548734356,CE_52_DEV,torchmarkaws_CE_52_DEV@torchmarkcorp.com,ACTIVE
890663024483,TST_InteractiveVoiceRecognition_Services,AWS_GlobeLife_TST_IVR_Services@globe.life,ACTIVE
919799598487,DEV_SpecialRiskDivision_App,AWS_GlobeLife_DEV_SpecialRiskDivision_App@globe.life,ACTIVE
174569728532,STG_CASFoxPro,AWS_GlobeLife_STG_CASFoxPro@globe.life,ACTIVE
499166352453,Network_Services,AWS_GlobeLife_Network@globe.life,ACTIVE
795752532668,TST_NZ_DocumentPortal,AWS_GlobeLife_TST_NZ_DocumentPortal@globe.life,ACTIVE
408687739846,DEV_GCCSApp,AWS_GlobeLife_DEV_GCCSApp@globe.life,ACTIVE
229844166211,WorksiteBilling_Dev,torchmarkaws_worksitebilling_dev@torchmarkcorp.com,ACTIVE
211125433506,BFX_Epic,AWS_Globe_Life_BFX_Epic@globe.life,ACTIVE
361418385861,STG_NBUWIntegration,AWS_GlobeLife_STG_NBUWIntegration@globe.life,ACTIVE
110537837285,PRD_GLChart,AWS_GlobeLife_PRD_GLChart@globe.life,ACTIVE
539247463641,STG_FHL-LegacyApps,AWS_GlobeLife_STG_FHL-LegacyApps@globe.life,ACTIVE
633442556533,STG_AILeApp,AWS_GlobeLife_STG_AILeApp@globe.life,ACTIVE
715473115931,Pilot_Inisghts_DataLake,AWS_GlobeLife_Pilot_Inisghts_DataLake@globe.life,ACTIVE
127214180258,PRD_WorkDay_Services,AWS_GlobeLife_PRD_WorkDay_Services@globe.life,ACTIVE
491074083512,DEV_Actuarial_CustomProc,AWS_GlobeLife_DEV_Actuarial_CustomProc@globe.life,ACTIVE
609314458591,TST_PolicyAdministration_Containers,AWS_GlobeLife_TST_PolicyAdministration_Containers@globe.life,ACTIVE
019916533242,STG_MuleSoft,AWS_GlobeLife_STG_MuleSoft@globe.life,ACTIVE
969638557656,TST_GlobeITWiki,AWS_GlobeLife_TST_GlobeITWiki@globe.life,ACTIVE
420053198525,STG_LegacySharedDataSvc,AWS_GlobeLife_STG_LegacySharedDataSvc@globe.life,ACTIVE
650251700749,DEV_ProducerLifeCycleManagement,AWS_GlobeLife_DEV_ProducerLifeCycleManagement@globe.life,ACTIVE
712454232611,TST_Kitewheel,AWS_Globe_TST_Kitewheel@globe.life,ACTIVE
991787178686,PRD_Impact,AWS_GlobeLife_PRD_Impact@globe.life,ACTIVE
969676307089,STG_MarTech_EntData,AWS_GlobeLife_STG_MarTech_EntData@globe.life,ACTIVE
315239881217,PRD_GCCSApp,AWS_GlobeLife_PRD_GCCSApp@globe.life,ACTIVE
471112601657,POC_QuickSight,AWS_GlobeLife_POC_QuickSight@globe.life,ACTIVE
212333811996,TST_AgencyDataEntryPortal,AWS_GlobeLife_TST_AgencyDataEntryPortal@globe.life,ACTIVE
834488898818,PRD_eServiceCenter,AWS_GlobeLife_PRD_eServiceCenter@globe.life,ACTIVE
195047626065,Globe_UserServices,AWS_GlobeLife_UserServices@globe.life,ACTIVE
528955448167,Kitewheel_Dev,torchmarkaws_kitewheel_dev@torchmarkcorp.com,ACTIVE
235039969621,ESD,torchmarkaws_esd@torchmarkcorp.com,ACTIVE
999908908487,PRD_MAPSApplication,AWS_GlobeLife_PRD_MAPSApplication@globe.life,ACTIVE
073412041252,STG_eClaims,AWS_GlobeLife_STG_eClaims@globe.life,ACTIVE
437833767532,PRD_PolySystems,AWS_GlobeLife_PRD_PolySystems@globe.life,ACTIVE
653334254777,Cherwell_Integration,torchmarkaws_cherwell_integration@torchmarkcorp.com,ACTIVE
016108676991,DEV_MarTech_BI,AWS_GlobeLife_DEV_MarTech_BI@globe.life,ACTIVE
265084811583,TST_AILeApp,AWS_GlobeLife_TST_AILeApp@globe.life,ACTIVE
448836929085,DEV_AgentAutomation,AWS_GlobeLife_DEV_AgentAutomation@globe.life,ACTIVE
881490093130,PRD_MLOperations_Martech_BIAnalytics,AWS_GlobeLIfe_PRD_MLOperations_Martech_BIAnalytics@globe.life,ACTIVE
669055407494,DigitalCurrency_Dev,torchmarkaws_AILeAppPaymentCard@torchmarkcorp.com,ACTIVE
891377245196,PRD_QuickSight,AWS_GlobeLife_PRD_QuickSight@globe.life,ACTIVE
911861643994,DEV_OutboundDialerIntegration,AWS_GlobeLife_DEV_OutboundDialerIntegration@globe.life,ACTIVE
810899865434,DEV_CorporateDisclaimerServices,AWS_GlobeLife_DEV_CorporateDisclaimerServices@globe.life,ACTIVE
920373025729,TST_MLOperations_Martech_BIAnalytics,AWS_GlobeLIfe_TST_MLOperations_Martech_BIAnalytics@globe.life,ACTIVE
071284598090,DEV_InvestmentsAnalyticsDashboard,AWS_GlobeLife_DEV_InvestmentsAnalyticsDashboard@globe.life,ACTIVE
604414959421,PRD_Actuarial_CustomProc,AWS_GlobeLife_PRD_Actuarial_CustomProc@globe.life,ACTIVE
095466251509,Sandbox_4,AWS_GlobeLife_Sandbox_4@globe.life,ACTIVE
409879795886,PRD_MuleSoft,AWS_GlobeLife_PRD_MuleSoft@globe.life,ACTIVE
123115268318,STG_LNLAgentPortal,AWS_GlobeLife_STG_LNLAgentPortal@globe.life,ACTIVE
339712804198,PRD_FirewallRulesLifecycleManagement,AWS_GlobeLife_PRD_FirewallRulesLifecycleManagement@globe.life,ACTIVE
640168419836,PRD_FHL-LegacyApps,AWS_GlobeLife_PRD_FHL-LegacyApps@globe.life,ACTIVE
489768172571,PRD_FirstCommandPortal,AWS_GlobeLife_PRD_FirstCommandPortal@globe.life,ACTIVE
149525969220,PRD_Citrix_Services,AWS_GlobeLife_PRD_Citrix_Services@globe.life,ACTIVE
706034562777,PRD_IncentiveCompMgmt,AWS_GlobeLife_ICM_Prd@globe.life,ACTIVE
